,Imbalanced nutrition less than body requirements: inadequate nutritional intake related to dysphagia and impaired swallowing after stroke (NANDA-I 00002),Impaired swallowing: abnormal functioning of swallowing mechanism compromising nutrition and airway protection due to neurological deficit (NANDA-I 00103),Risk for aspiration: susceptibility to entry of secretions into tracheobronchial passages due to impaired swallowing and reduced consciousness (NANDA-I 00039),Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),Constipation: decrease in normal bowel movement frequency and consistency related to immobility and neurological dysfunction (NANDA-I 00011),Impaired gas exchange: excess or deficit in oxygenation and carbon dioxide elimination related to ventilation-perfusion imbalance (NANDA-I 00030),Ineffective airway clearance: inability to clear secretions from respiratory tract due to reduced consciousness and neuromuscular dysfunction (NANDA-I 00031),Impaired physical mobility: limitation in independent purposeful physical movement related to neurological impairment and hemiplegia (NANDA-I 00085),Fatigue: overwhelming sustained sense of exhaustion and decreased capacity for physical and mental work related to neurological disease (NANDA-I 00093),Disturbed sleep pattern: time-limited disruption of sleep amount and quality related to hospitalization neurological symptoms and pain (NANDA-I 00198),Bathing self-care deficit: impaired ability to independently perform bathing and hygiene activities related to hemiplegia and motor deficit (NANDA-I 00108),Dressing self-care deficit: impaired ability to dress and undress independently related to motor and sensory deficit after stroke (NANDA-I 00109),Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),Decreased cardiac output: inadequate quantity of blood pumped by heart to meet metabolic demands of body related to cardiac dysfunction (NANDA-I 00029),Acute confusion: abrupt onset of reversible disturbances of consciousness attention cognition and perception related to neuroinflammation and cerebral ischemia (NANDA-I 00128),Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),Impaired memory: inability to recall or retrieve bits of information or behavioral skills related to neurological damage from cerebral ischemia (NANDA-I 00131),Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),Hopelessness: subjective state in which individual sees limited or no alternatives or personal choices and is unable to mobilize energy related to neurological disability (NANDA-I 00124),Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),Caregiver role strain: difficulty in performing the family caregiver role related to complexity duration and demands of post-stroke care (NANDA-I 00061),Interrupted family processes: change in family relationships and functioning related to acute illness and hospitalization of family member (NANDA-I 00060),Anxiety: vague uneasy feeling of discomfort or dread accompanied by autonomic response related to neurological deficit uncertainty and loss of independence (NANDA-I 00146),Fear: response to perceived threat that is consciously recognized as a danger related to disability dependency and uncertain prognosis (NANDA-I 00148),Grieving: functional process that includes emotional physical spiritual social and intellectual responses related to loss of neurological function and previous lifestyle (NANDA-I 00136),Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),Risk for injury: susceptibility to physical damage due to sensory and motor deficit impaired balance and altered consciousness after stroke (NANDA-I 00035),Risk for falls: susceptibility to falling that may cause physical harm and health deterioration related to neurological impairment and altered gait (NANDA-I 00155),Risk for pressure injury: susceptibility to localized damage to skin and underlying tissue usually over bony prominence related to immobility and sensory deficit (NANDA-I 00249),Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),Acute pain: unpleasant sensory and emotional experience associated with actual or potential tissue damage related to neurological injury and post-stroke pain (NANDA-I 00132),Impaired comfort: perceived lack of ease relief and transcendence in physical psychospiritual environmental and social dimensions related to neurological symptoms (NANDA-I 00214),Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201)
Adaptive immunity,0.52452636,0.5256022,0.5504528,0.54361105,0.52190375,0.5437129,0.52201426,0.53573203,0.5097643,0.50712365,0.52676916,0.5398383,0.6108805,0.43946123,0.51571727,0.6014515,0.5063213,0.59604156,0.553023,0.5339019,0.48322743,0.5249113,0.5117348,0.5013517,0.5748778,0.51328075,0.69121045,0.7004278,0.52366376,0.5367841,0.5563586,0.5523329,0.5243854,0.52233934,0.47940707,0.55678993,0.5090468,0.5076511
Lymphocyte differentiation,0.50353456,0.51677567,0.5258253,0.54783905,0.546087,0.47931516,0.5366209,0.5059677,0.53123516,0.5215695,0.4989375,0.49667278,0.4983492,0.47036356,0.53033805,0.5069809,0.4956144,0.549768,0.4843495,0.47417974,0.4817077,0.49963373,0.5138797,0.51872313,0.4827789,0.5088512,0.50423276,0.46986413,0.4425838,0.4748091,0.46900362,0.54540163,0.5285399,0.54778135,0.47578782,0.53583556,0.5510489,0.5113195
Lymphocyte activation,0.42586583,0.46064857,0.47799373,0.52167785,0.50172925,0.4149325,0.46726245,0.4668665,0.5019636,0.4914328,0.46015257,0.4562114,0.47489488,0.42453092,0.4958497,0.4850096,0.4536997,0.531264,0.44996253,0.4470392,0.45350057,0.46784866,0.4857027,0.48999196,0.44821632,0.4659928,0.4857915,0.4467398,0.40648717,0.4377271,0.4479851,0.52809525,0.52028054,0.4998808,0.46424824,0.48141062,0.49182138,0.46891904
Adaptive immune response,0.470935,0.49193454,0.5131283,0.54244494,0.47889268,0.5104573,0.50085497,0.49752945,0.4899469,0.49175268,0.4908604,0.5006996,0.58386385,0.4545151,0.51315886,0.5453014,0.48218608,0.555277,0.48724645,0.49469778,0.4916693,0.4729532,0.5007107,0.4930635,0.5192781,0.48456433,0.5958111,0.65187174,0.5178793,0.49718475,0.542059,0.5758879,0.51297045,0.49726784,0.4861456,0.4894298,0.4839755,0.52493614
Positive regulation of immune system process,0.53141725,0.56415886,0.5774368,0.62441707,0.54007745,0.5846015,0.5537045,0.58571273,0.6132609,0.576577,0.5723376,0.623786,0.6543876,0.59629864,0.5940357,0.66668963,0.5741757,0.6207458,0.6164611,0.6732473,0.59762084,0.60353637,0.6463762,0.59966886,0.5990988,0.63979536,0.6703936,0.67934656,0.62098783,0.5820794,0.6623049,0.668309,0.6555827,0.5987019,0.5921502,0.6135289,0.6338803,0.6476849
Immune response,0.40255624,0.39044127,0.40505326,0.46288204,0.41679692,0.43982852,0.3896748,0.43242142,0.44765103,0.43049204,0.42343187,0.44909608,0.47176784,0.44061196,0.43313622,0.48260173,0.38274997,0.48535842,0.40839154,0.4654833,0.45828533,0.43883538,0.45285618,0.43621957,0.46621698,0.44589427,0.5258169,0.55735743,0.45955145,0.42695585,0.48297197,0.53256714,0.45895666,0.4310812,0.43951762,0.4203912,0.45599487,0.46836436
Side of membrane,0.4587905,0.4891415,0.5275802,0.5224641,0.46594474,0.44615257,0.4835488,0.4510364,0.5023089,0.45589784,0.45479402,0.45727968,0.49986452,0.4875999,0.44780922,0.47947803,0.41045374,0.44014156,0.42454767,0.49885058,0.51348597,0.47009146,0.48673072,0.44163808,0.43561065,0.44906276,0.4621771,0.4349447,0.45783824,0.44973445,0.45754305,0.469464,0.48608643,0.5155302,0.4467241,0.4634092,0.50493854,0.4590872
B cell receptor complex,0.39770973,0.39835638,0.36333555,0.43006554,0.37340575,0.43465692,0.37977898,0.38623983,0.41745427,0.4220761,0.37433144,0.39054585,0.38668996,0.45901784,0.43482137,0.46530408,0.3891918,0.43128926,0.36239737,0.414082,0.43943956,0.44689542,0.45232177,0.42606086,0.41085455,0.42282784,0.42914718,0.42760807,0.4512617,0.38440487,0.4165606,0.47771984,0.45096132,0.4204249,0.45059618,0.41367278,0.46133837,0.51256853
External side of plasma membrane,0.49284548,0.4918997,0.5240245,0.5700989,0.49206746,0.53366226,0.458487,0.51406384,0.55336595,0.5237746,0.51275194,0.52182674,0.5403353,0.56790864,0.5297298,0.55331415,0.44923556,0.5694159,0.5069086,0.5709287,0.5850999,0.5535345,0.57111967,0.50348365,0.5229524,0.52324516,0.5211245,0.5272303,0.5282343,0.50271916,0.5493535,0.5507122,0.5582462,0.56171364,0.535802,0.5329599,0.5593275,0.5637042
Immunoreceptor tyrosine-based activation motif,0.5532658,0.57019496,0.60273445,0.5911231,0.583372,0.64254653,0.5574671,0.63356566,0.6338538,0.63433045,0.62267506,0.6469358,0.67779845,0.5344394,0.66026044,0.6928174,0.6168254,0.6858262,0.60043174,0.63626933,0.63936937,0.61105937,0.5803757,0.6214511,0.624636,0.61318266,0.68096876,0.6671642,0.6395058,0.6199944,0.65137076,0.63207483,0.59539306,0.60461074,0.616069,0.6644914,0.60175294,0.66287553
