regulacao,via,rank,diagnostico_nanda,similaridade
Up,Innate immunity,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6753
Down,Adaptive immunity,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.7004
Down,Adaptive immunity,2,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6912
Down,Adaptive immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6519
Down,Positive regulation of immune system process,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6793
Down,Positive regulation of immune system process,2,Powerlessness: lived experience of lack of control over a situation including a perception that one's actions do not significantly affect outcome related to stroke-induced dependency (NANDA-I 00125),0.6732
Down,Positive regulation of immune system process,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6704
Down,Positive regulation of immune system process,4,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.6683
Down,Positive regulation of immune system process,5,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6667
Down,Immunoreceptor tyrosine-based activation motif,1,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.6928
Down,Immunoreceptor tyrosine-based activation motif,2,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6858
Down,Immunoreceptor tyrosine-based activation motif,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.681
Down,Immunoreceptor tyrosine-based activation motif,4,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.6778
Down,Immunoreceptor tyrosine-based activation motif,5,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6672
Down,Antigen receptor-mediated signaling pathway,1,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6889
Down,Immunological synapse formation,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6811
Down,Regulation of immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6794
