regulacao,via,rank,diagnostico_nanda,similaridade
Up,Secretory granule,1,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5298
Up,Secretory granule,2,Risk for aspiration: susceptibility to entry of secretions into tracheobronchial passages due to impaired swallowing and reduced consciousness (NANDA-I 00039),0.522
Up,Secretory granule,3,Ineffective peripheral tissue perfusion: decrease in blood circulation to the periphery that may compromise health related to vascular dysfunction and immobility (NANDA-I 00204),0.508
Up,Secretory granule,4,Disturbed body image: confusion in mental picture of one's physical self related to functional and physical loss after stroke and hemiplegia (NANDA-I 00118),0.5057
Up,Secretory granule,5,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.5049
Up,Neutrophil degranulation,1,Acute confusion: abrupt onset of reversible disturbances of consciousness attention cognition and perception related to neuroinflammation and cerebral ischemia (NANDA-I 00128),0.6113
Up,Neutrophil degranulation,2,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6067
Up,Neutrophil degranulation,3,Fatigue: overwhelming sustained sense of exhaustion and decreased capacity for physical and mental work related to neurological disease (NANDA-I 00093),0.6045
Up,Neutrophil degranulation,4,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.6034
Up,Neutrophil degranulation,5,Impaired urinary elimination: dysfunction of urinary elimination related to neurogenic bladder dysfunction after stroke (NANDA-I 00016),0.6003
Up,Innate Immune System,1,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6058
Up,Innate Immune System,2,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.5951
Up,Innate Immune System,3,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5854
Up,Innate Immune System,4,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.5773
Up,Innate Immune System,5,Impaired verbal communication: decreased ability to receive process transmit and use a system of symbols related to aphasia after stroke (NANDA-I 00051),0.572
Up,Immune effector process,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.6427
Up,Immune effector process,2,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.6348
Up,Immune effector process,3,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6333
Up,Immune effector process,4,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.6278
Up,Immune effector process,5,Risk for disuse syndrome: susceptibility to deterioration of body systems related to prescribed or unavoidable musculoskeletal inactivity (NANDA-I 00040),0.6248
Up,Immune response,1,Ineffective protection: decrease in ability to guard self from internal or external threats related to altered immune response and impaired adaptive immunity (NANDA-I 00043),0.5574
Up,Immune response,2,Hyperthermia: core body temperature above normal diurnal range related to systemic inflammatory response and post-stroke infection (NANDA-I 00007),0.5326
Up,Immune response,3,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5258
Up,Immune response,4,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.4854
Up,Immune response,5,Risk for pressure injury: susceptibility to localized damage to skin and underlying tissue usually over bony prominence related to immobility and sensory deficit (NANDA-I 00249),0.483
Up,Extracellular region,1,Impaired tissue integrity: damage to mucous membrane corneal integumentary or subcutaneous tissues related to ischemic injury and impaired circulation (NANDA-I 00044),0.5494
Up,Extracellular region,2,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.5492
Up,Extracellular region,3,Risk for ineffective cerebral tissue perfusion: susceptibility to decrease in cerebral tissue circulation related to cerebral ischemia edema and blood-brain barrier disruption (NANDA-I 00201),0.537
Up,Extracellular region,4,Risk for infection: susceptibility to invasion and multiplication of pathogenic organisms related to immunosuppression immobility and invasive procedures (NANDA-I 00004),0.5196
Up,Extracellular region,5,Risk for thrombus: susceptibility to obstruction of a blood vessel by a thrombus that can cause ischemia necrosis and death related to immobility after stroke (NANDA-I 00291),0.5113
Up,Cytoplasmic vesicle,1,Decreased intracranial adaptive capacity: intracranial fluid dynamic mechanisms compromised resulting in repeated disproportionate increases in intracranial pressure (NANDA-I 00049),0.6075
