category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
COMPARTMENTS	GOCC:0035369	2	6	9606	9606.ENSP00000221972,9606.ENSP00000376544	CD79A,CD79B	1.98e-05	0.0457	pre-B cell receptor complex	Down	17	17
Process	GO:0030098	6	242	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,LEF1,IL7R,CD79B,ITK	4.28e-08	0.00028	Lymphocyte differentiation	Down	17	17
Process	GO:0046649	7	390	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,LEF1,IL7R,CD6,CD79B,ITK	2.18e-08	0.00028	Lymphocyte activation	Down	17	17
Process	GO:0002250	6	317	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,LEF1,CD6,HLA-DQB1,CD79B,ITK	2.04e-07	0.00087	Adaptive immune response	Down	17	17
Process	GO:0002684	8	949	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,LEF1,IL7R,CD6,HLA-DQB1,CD79B,ITK	5.18e-07	0.0013	Positive regulation of immune system process	Down	17	17
Process	GO:0006955	9	1588	9606	9606.ENSP00000221972,9606.ENSP00000246657,9606.ENSP00000248948,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CCR7,VPREB3,LEF1,IL7R,CD6,HLA-DQB1,CD79B,ITK	2.07e-06	0.0044	Immune response	Down	17	17
Process	GO:0030217	4	142	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000398655	CCR7,LEF1,IL7R,ITK	6.54e-06	0.0109	T cell differentiation	Down	17	17
Process	GO:0042100	3	43	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000306157	CD79A,LEF1,IL7R	8.06e-06	0.0109	B cell proliferation	Down	17	17
Process	GO:0042113	4	161	9606	9606.ENSP00000221972,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000376544	CD79A,LEF1,IL7R,CD79B	1.06e-05	0.0109	B cell activation	Down	17	17
Process	GO:0050853	3	41	9606	9606.ENSP00000221972,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,CD79B,ITK	7.04e-06	0.0109	B cell receptor signaling pathway	Down	17	17
Process	GO:0002377	3	57	9606	9606.ENSP00000248948,9606.ENSP00000306157,9606.ENSP00000364080	VPREB3,IL7R,HLA-DQB1	1.8e-05	0.0145	Immunoglobulin production	Down	17	17
Process	GO:0050851	4	199	9606	9606.ENSP00000221972,9606.ENSP00000364080,9606.ENSP00000376544,9606.ENSP00000398655	CD79A,HLA-DQB1,CD79B,ITK	2.4e-05	0.0171	Antigen receptor-mediated signaling pathway	Down	17	17
Process	GO:0050870	4	209	9606	9606.ENSP00000246657,9606.ENSP00000265165,9606.ENSP00000306157,9606.ENSP00000323280	CCR7,LEF1,IL7R,CD6	2.9e-05	0.0196	Positive regulation of T cell activation	Down	17	17
