category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	set_label	n_input_symbols	n_mapped_proteins
COMPARTMENTS	GOCC:0005576	8	2035	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,CA4,ARG1,S100A12,MMP9,FCGR3B	4.67e-06	0.0039	Extracellular region	Up	12	12
COMPARTMENTS	GOCC:0030141	6	704	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,CA4,ARG1,MMP9,FCGR3B	1.71e-06	0.0039	Secretory granule	Up	12	12
COMPARTMENTS	GOCC:0031410	7	1709	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,CA4,ARG1,MMP9,FCGR3B	2.09e-05	0.0121	Cytoplasmic vesicle	Up	12	12
Process	GO:0002252	7	969	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000384359,9606.ENSP00000433642	ORM1,CRISPLD2,ARG1,S100A12,MMP9,APOBEC3A,FCGR3B	4.76e-07	0.0025	Immune effector process	Up	12	12
Process	GO:0006955	8	1588	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000384359,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,ARG1,S100A12,MMP9,APOBEC3A,FCGR3B	7.04e-07	0.0025	Immune response	Up	12	12
Process	GO:0043312	6	484	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,ARG1,S100A12,MMP9,FCGR3B	1.94e-07	0.0025	Neutrophil degranulation	Up	12	12
Component	GO:0030141	7	845	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,CA4,ARG1,S100A12,MMP9,FCGR3B	1.89e-07	0.00032	Secretory granule	Up	12	12
Component	GO:0031410	8	2386	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,CA4,ARG1,S100A12,MMP9,FCGR3B	1.55e-05	0.0088	Cytoplasmic vesicle	Up	12	12
Component	GO:0034774	4	324	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000349446,9606.ENSP00000357726	ORM1,CRISPLD2,ARG1,S100A12	3.44e-05	0.0117	Secretory granule lumen	Up	12	12
Keyword	KW-0399	4	324	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000384359	LY96,ARG1,S100A12,APOBEC3A	3.44e-05	0.0233	Innate immunity	Up	12	12
PMID	PMID:28446746	9	25	9606	9606.ENSP00000259396,9606.ENSP00000262424,9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000384359,9606.ENSP00000405252,9606.ENSP00000433642	ORM1,CRISPLD2,LY96,CA4,S100A12,MMP9,APOBEC3A,AKAP7,FCGR3B	9.89e-24	4.1e-17	(2017) Peripheral blood AKAP7 expression as an early marker for lymphocyte-mediated post-stroke blood brain barrier disruption.	Up	12	12
PMID	PMID:36034287	5	14	9606	9606.ENSP00000262424,9606.ENSP00000300900,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	CRISPLD2,CA4,S100A12,MMP9,FCGR3B	3.83e-13	7.94e-07	(2022) Bioinformatics analysis to identify potential biomarkers and therapeutic targets for ST-segment-elevation myocardial infarction-related ischemic stroke.	Up	12	12
PMID	PMID:26515089	4	9	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	LY96,ARG1,S100A12,MMP9	5.77e-11	7.97e-05	(2016) The Role of Arginase 1 in Post-Stroke Immunosuppression and Ischemic Stroke Severity.	Up	12	12
PMID	PMID:21437602	4	10	9606	9606.ENSP00000259396,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ORM1,ARG1,MMP9,FCGR3B	8.07e-11	8.37e-05	(2011) Changes in transcriptional output of human peripheral blood mononuclear cells following resistance exercise.	Up	12	12
PMID	PMID:28222567	4	11	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	LY96,ARG1,S100A12,MMP9	1.1e-10	9.12e-05	(2017) Immune biomarkers for the diagnosis of mild traumatic brain injury.	Up	12	12
PMID	PMID:16395289	4	13	9606	9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000361405	LY96,CA4,ARG1,MMP9	1.92e-10	0.00013	(2006) Gene expression in blood changes rapidly in neutrophils and monocytes after ischemic stroke in humans: a microarray study.	Up	12	12
PMID	PMID:25972779	5	58	9606	9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	LY96,CA4,ARG1,S100A12,MMP9	2.28e-10	0.00014	(2015) Rational modulation of the innate immune system for neuroprotection in ischemic stroke.	Up	12	12
PMID	PMID:32793601	6	204	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000384359,9606.ENSP00000433642	LY96,ARG1,S100A12,MMP9,APOBEC3A,FCGR3B	1.24e-09	0.00064	(2020) Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages.	Up	12	12
PMID	PMID:32500751	4	25	9606	9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000357726,9606.ENSP00000361405	LY96,CA4,S100A12,MMP9	1.91e-09	0.00088	(2020) Liquid biopsy markers for stroke diagnosis.	Up	12	12
PMID	PMID:34341659	4	28	9606	9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,S100A12,MMP9,FCGR3B	2.88e-09	0.0012	(2021) Severe COVID-19 Is Characterized by an Impaired Type I Interferon Response and Elevated Levels of Arginase Producing Granulocytic Myeloid Derived Suppressor Cells.	Up	12	12
PMID	PMID:27672514	4	30	9606	9606.ENSP00000259396,9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000361405	ORM1,CA4,ARG1,MMP9	3.71e-09	0.0014	(2016) Integrated analysis of ischemic stroke datasets revealed sex and age difference in anti-stroke targets.	Up	12	12
PMID	PMID:21778188	4	35	9606	9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	CA4,ARG1,S100A12,MMP9	6.58e-09	0.0023	(2011) Cerebrovascular disease in children: recent advances in diagnosis and management.	Up	12	12
PMID	PMID:29637127	4	38	9606	9606.ENSP00000300900,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	CA4,ARG1,S100A12,MMP9	8.94e-09	0.0029	(2017) Peripheral blood RNA gene expression in children with pneumococcal meningitis: a prospective case-control study.	Up	12	12
PMID	PMID:33633673	4	43	9606	9606.ENSP00000284818,9606.ENSP00000300900,9606.ENSP00000357726,9606.ENSP00000361405	LY96,CA4,S100A12,MMP9	1.42e-08	0.0042	(2021) Acute Stroke Biomarkers: Are We There Yet?	Up	12	12
PMID	PMID:30356867	4	46	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	LY96,ARG1,MMP9,FCGR3B	1.83e-08	0.0051	(2018) Update on Neutrophil Function in Severe Inflammation.	Up	12	12
PMID	PMID:32786841	3	7	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.11e-08	0.0052	(2020) Ketogenic Diet Elicits Antitumor Properties through Inducing Oxidative Stress, Inhibiting MMP-9 Expression, and Rebalancing M1M2 Tumor-Associated Macrophage Phenotype in a Mouse Model of Colon Cancer.	Up	12	12
PMID	PMID:33131091	4	47	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	LY96,ARG1,S100A12,MMP9	1.99e-08	0.0052	(2020) The role of RAGE in host pathology and crosstalk between RAGE and TLR4 in innate immune signal transduction pathways.	Up	12	12
PMID	PMID:30066961	3	7	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000433642	LY96,ARG1,FCGR3B	2.11e-08	0.0052	(2018) A GRIM fate for human neutrophils in airway disease.	Up	12	12
PMID	PMID:23123827	4	51	9606	9606.ENSP00000284818,9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	LY96,ARG1,S100A12,MMP9	2.71e-08	0.0059	(2013) Review of S100A9 biology and its role in cancer.	Up	12	12
PMID	PMID:34786024	3	8	9606	9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	S100A12,MMP9,FCGR3B	2.89e-08	0.006	(2021) MicroRNA-146a Serves as a Biomarker for Adverse Prognosis of ST-Segment Elevation Myocardial Infarction.	Up	12	12
PMID	PMID:31723807	4	56	9606	9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,S100A12,MMP9,FCGR3B	3.87e-08	0.0076	(2019) Myeloid-Derived Suppressor Cells in Hematologic Diseases: Promising Biomarkers and Treatment Targets.	Up	12	12
PMID	PMID:28981629	3	12	9606	9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405	ARG1,S100A12,MMP9	7.97e-08	0.015	(2017) Usefulness of Transcriptional Blood Biomarkers as a Non-invasive Surrogate Marker of Mucosal Healing and Endoscopic Response in Ulcerative Colitis.	Up	12	12
PMID	PMID:33441124	4	71	9606	9606.ENSP00000349446,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,S100A12,MMP9,FCGR3B	9.61e-08	0.0173	(2021) Disease severity-specific neutrophil signatures in blood transcriptomes stratify COVID-19 patients.	Up	12	12
PMID	PMID:27287090	3	13	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	9.81e-08	0.0173	(2016) A novel immunomodulatory function of neutrophils on rhinovirus-activated monocytes in vitro.	Up	12	12
PMID	PMID:33413447	3	14	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	1.19e-07	0.0197	(2021) Graphene-modified CePO4 nanorods effectively treat breast cancer-induced bone metastases and regulate macrophage polarization to improve osteo-inductive ability.	Up	12	12
PMID	PMID:33948572	3	15	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	1.43e-07	0.0228	(2021) Transcriptional firing represses bactericidal activity in cystic fibrosis airway neutrophils.	Up	12	12
PMID	PMID:29661142	3	15	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	1.43e-07	0.0228	(2018) Neutrophils in primary gastric tumors are correlated with neutrophil infiltration in tumor-draining lymph nodes and the systemic inflammatory response.	Up	12	12
PMID	PMID:31380170	3	17	9606	9606.ENSP00000300900,9606.ENSP00000361405,9606.ENSP00000433642	CA4,MMP9,FCGR3B	1.99e-07	0.0295	(2019) PI3Kgamma Inhibitor Attenuates Immunosuppressive Effect of Poly(l-Glutamic Acid)-Combretastatin A4 Conjugate in Metastatic Breast Cancer.	Up	12	12
PMID	PMID:29783929	3	17	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	1.99e-07	0.0295	(2018) Modulation the crosstalk between tumor-associated macrophages and non-small cell lung cancer to inhibit tumor migration and invasion by ginsenoside Rh2.	Up	12	12
PMID	PMID:34457122	3	18	9606	9606.ENSP00000300900,9606.ENSP00000357726,9606.ENSP00000361405	CA4,S100A12,MMP9	2.33e-07	0.0321	(2021) Comprehensive Analysis of the Systemic Transcriptomic Alternations and Inflammatory Response during the Occurrence and Progress of COVID-19.	Up	12	12
PMID	PMID:32053272	3	18	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.33e-07	0.0321	(2020) Quercetin inhibits macrophage polarization through the p-38alphabeta signalling pathway and regulates OPGRANKL balance in a mouse skull model.	Up	12	12
PMID	PMID:31419078	3	18	9606	9606.ENSP00000259396,9606.ENSP00000349446,9606.ENSP00000357726	ORM1,ARG1,S100A12	2.33e-07	0.0321	(2019) Identification of differentially expressed genes and signaling pathways in chronic obstructive pulmonary disease via bioinformatic analysis.	Up	12	12
PMID	PMID:25436215	3	18	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.33e-07	0.0321	(2014) A circulating subpopulation of monocytic myeloid-derived suppressor cells as an independent prognosticpredictive factor in untreated non-small lung cancer patients.	Up	12	12
PMID	PMID:22999528	3	18	9606	9606.ENSP00000349446,9606.ENSP00000361405,9606.ENSP00000433642	ARG1,MMP9,FCGR3B	2.33e-07	0.0321	(2012) Macrophage imbalance (M1 vs. M2) and upregulation of mast cells in wall of ruptured human cerebral aneurysms: preliminary results.	Up	12	12
