gene_symbol	regulation	STRING_id
ARG1	Up	9606.ENSP00000349446
MMP9	Up	9606.ENSP00000361405
S100A12	Up	9606.ENSP00000357726
ORM1	Up	9606.ENSP00000259396
FCGR3B	Up	9606.ENSP00000433642
APOBEC3A	Up	9606.ENSP00000384359
AKAP7	Up	9606.ENSP00000405252
LY96	Up	9606.ENSP00000284818
CA4	Up	9606.ENSP00000300900
FOLR3	Up	9606.ENSP00000481114
ACSL1	Up	9606.ENSP00000422607
CSPG2	Up	9606.ENSP00000265077
CRISPLD2	Up	9606.ENSP00000262424
IQGAP1	Up	9606.ENSP00000268182
PADI4	Up	9606.ENSP00000364597
RGS2	Up	9606.ENSP00000235382
PDK4	Up	9606.ENSP00000005178
OLFM4	Up	9606.ENSP00000219022
